EstablishmentNumber,StartDate,EnterpriseNumber
2.000.235.416,01-01-1965,0405.131.782
2.000.236.010,01-01-1965,0405.386.952
2.000.236.802,01-01-1965,0403.694.501
2.000.237.394,01-01-1965,0404.069.039
2.000.237.889,01-04-1977,0747.026.395
2.000.238.186,01-01-1965,0400.731.348
2.000.238.285,01-01-1965,0400.925.843
2.000.238.681,01-10-1964,0401.284.149
2.000.238.978,01-07-1966,0572.825.580
2.000.239.176,01-02-1965,0400.739.167
2.000.239.374,01-03-1967,0401.324.137
2.000.239.473,01-01-1965,0569.528.768
2.000.240.859,01-03-1965,0599.090.608
2.000.240.958,01-01-1965,0403.936.902
2.000.241.552,01-01-1965,0404.415.071
2.000.241.750,01-01-1965,0404.934.715
2.000.241.849,01-03-1967,0400.017.112
2.000.242.344,27-04-1978,0588.590.753
2.000.242.641,01-02-1965,0404.056.567
2.000.244.324,05-09-1994,0404.600.856
2.000.244.621,01-01-1965,0404.859.390
2.000.244.720,01-01-1965,0403.754.679
2.000.244.819,01-01-1965,0402.737.268
2.000.245.017,01-02-1965,0401.986.014
2.000.246.205,01-01-1965,0405.070.119
2.000.247.292,01-03-1965,0588.043.296
2.000.247.391,01-03-1972,0588.043.296
2.000.247.985,12-07-1990,0403.126.456
2.000.249.470,01-07-1964,0413.643.533
2.000.250.262,01-01-1965,0401.380.456
2.000.251.747,01-01-1965,0402.528.323
2.000.256.695,10-04-2001,0626.005.534
2.000.256.794,22-03-1989,0505.370.394
2.000.257.784,07-12-1995,0614.722.058
2.000.261.744,10-03-1989,0510.289.779
2.000.262.536,01-11-1965,0400.847.649
2.000.264.813,01-01-1967,0406.030.518
2.000.265.209,01-02-1965,0404.413.586
2.000.265.803,01-01-1965,0403.900.377
2.000.267.880,01-02-1965,0590.421.182
2.000.268.177,01-04-1965,0405.081.007
2.000.268.771,06-06-1996,0404.636.587
2.000.269.563,01-01-1967,0402.092.021
2.000.271.444,01-04-1955,0403.750.226
2.000.271.543,01-01-1965,0404.807.130
2.000.273.325,01-01-1965,0403.108.739
2.000.273.622,01-01-1965,0400.895.753
2.000.273.820,01-11-1966,0402.962.249
2.000.275.897,10-04-1997,0400.948.312
2.000.276.194,01-01-1965,0730.185.811
2.000.276.590,01-10-1966,0403.076.570
2.000.277.976,01-02-1967,0405.733.182
2.000.278.075,01-07-1968,0405.733.182
2.000.278.174,01-07-1968,0405.733.182
2.000.278.273,01-07-1968,0405.733.182
2.000.279.263,01-01-1965,0400.957.319
2.000.280.352,01-02-1967,0402.425.779
2.000.281.243,01-11-1974,0403.470.906
2.000.281.441,01-02-1965,0405.312.817
2.000.283.322,01-02-1965,0405.411.203
2.000.283.916,01-01-1961,0658.291.191
2.000.284.114,06-09-2001,0403.932.843
2.000.286.686,01-12-1964,0548.301.111
